annotator,method,topic,f1,kappa,precision,recall,tp,fp,fn,tn
annotator_1,Hybrid OR (Union),Book Bans/Anti-DEI,0.1333,0.1006,0.0732,0.75,3,38,1,158
annotator_1,Hybrid OR (Union),Housing/Displacement,0.4615,0.4085,0.36,0.6429,9,16,5,170
annotator_1,Hybrid OR (Union),Maternal Health,0.1333,0.1006,0.0732,0.75,3,38,1,158
annotator_1,Hybrid OR (Union),Redlining/Fair Housing,0.1667,0.1292,0.0968,0.6,3,28,2,167
annotator_1,Hybrid OR (Union),Anti-Black Surveillance,0.0811,0.0538,0.0423,1.0,3,68,0,129
annotator_1,Hybrid OR (Union),Reparations,0.0,-0.0332,0.0,0.0,0,9,5,186
annotator_1,Hybrid OR (Union),School Funding,0.2727,0.2272,0.1622,0.8571,6,31,1,162
annotator_1,Hybrid OR (Union),Criminal Justice Reform,0.3077,0.2704,0.2105,0.5714,4,15,3,178
annotator_1,Hybrid OR (Union),Environmental Justice,0.2456,0.1565,0.1628,0.5,7,36,7,150
annotator_1,Hybrid OR (Union),Economic Equity/Wealth Gap,0.4396,0.2747,0.4545,0.4255,20,24,27,129
annotator_1,Hybrid AND (Intersect),Policing/Public Safety,0.3429,0.2866,0.5,0.2609,6,6,17,171
annotator_1,Hybrid AND (Intersect),Voter Suppression,0.5833,0.5569,0.6364,0.5385,7,4,6,183
annotator_1,Hybrid AND (Intersect),Book Bans/Anti-DEI,0.1333,0.1071,0.0909,0.25,1,10,3,186
annotator_1,Hybrid AND (Intersect),Housing/Displacement,0.5,0.4781,0.8333,0.3571,5,1,9,185
annotator_1,Hybrid AND (Intersect),Maternal Health,0.5455,0.5336,0.4286,0.75,3,4,1,192
annotator_1,Hybrid AND (Intersect),Redlining/Fair Housing,0.0,0.0,0.0,0.0,0,0,5,195
annotator_1,Hybrid AND (Intersect),Anti-Black Surveillance,0.5,0.4962,1.0,0.3333,1,0,2,197
annotator_1,Hybrid AND (Intersect),Reparations,0.0,0.0,0.0,0.0,0,0,5,195
annotator_1,Hybrid AND (Intersect),School Funding,0.5455,0.5336,0.75,0.4286,3,1,4,192
annotator_1,Hybrid AND (Intersect),Criminal Justice Reform,0.0,-0.0088,0.0,0.0,0,1,7,192
annotator_1,Hybrid AND (Intersect),Environmental Justice,0.5,0.4781,0.8333,0.3571,5,1,9,185
annotator_1,Hybrid AND (Intersect),Economic Equity/Wealth Gap,0.2143,0.1501,0.6667,0.1277,6,3,41,150
annotator_1,Hybrid Soft Boost,Policing/Public Safety,0.459,0.3685,0.3684,0.6087,14,24,9,153
annotator_1,Hybrid Soft Boost,Voter Suppression,0.4667,0.4243,0.4118,0.5385,7,10,6,177
annotator_1,Hybrid Soft Boost,Book Bans/Anti-DEI,0.1333,0.1006,0.0732,0.75,3,38,1,158
annotator_1,Hybrid Soft Boost,Housing/Displacement,0.5806,0.5458,0.5294,0.6429,9,8,5,178
annotator_1,Hybrid Soft Boost,Maternal Health,0.5,0.4863,0.375,0.75,3,5,1,191
annotator_1,Hybrid Soft Boost,Redlining/Fair Housing,0.2857,0.262,0.2222,0.4,2,7,3,188
annotator_1,Hybrid Soft Boost,Anti-Black Surveillance,0.5714,0.564,0.5,0.6667,2,2,1,195
annotator_1,Hybrid Soft Boost,Reparations,0.0488,0.0019,0.026,0.4,2,75,3,120
annotator_1,Hybrid Soft Boost,School Funding,0.5333,0.5152,0.5,0.5714,4,4,3,189
annotator_1,Hybrid Soft Boost,Criminal Justice Reform,0.381,0.3506,0.2857,0.5714,4,10,3,183
annotator_1,Hybrid Soft Boost,Environmental Justice,0.4762,0.4505,0.7143,0.3571,5,2,9,184
annotator_1,Hybrid Soft Boost,Economic Equity/Wealth Gap,0.5,0.2883,0.3951,0.6809,32,49,15,104
annotator_1,Hybrid Soft Boost (CV),Policing/Public Safety,0.4407,0.3494,0.3611,0.5652,13,23,10,154
annotator_1,Hybrid Soft Boost (CV),Voter Suppression,0.4375,0.3905,0.3684,0.5385,7,12,6,175
annotator_1,Hybrid Soft Boost (CV),Book Bans/Anti-DEI,0.0667,0.0331,0.0385,0.25,1,25,3,171
annotator_1,Hybrid Soft Boost (CV),Housing/Displacement,0.5806,0.5458,0.5294,0.6429,9,8,5,178
annotator_1,Hybrid Soft Boost (CV),Maternal Health,0.4286,0.4118,0.3,0.75,3,7,1,189
annotator_1,Hybrid Soft Boost (CV),Redlining/Fair Housing,0.0909,0.0453,0.0476,1.0,5,100,0,95
annotator_1,Hybrid Soft Boost (CV),Anti-Black Surveillance,0.0387,0.0096,0.0197,1.0,3,149,0,48
annotator_1,Hybrid Soft Boost (CV),Reparations,0.0488,0.0019,0.026,0.4,2,75,3,120
annotator_1,Hybrid Soft Boost (CV),School Funding,0.5333,0.5152,0.5,0.5714,4,4,3,189
annotator_1,Hybrid Soft Boost (CV),Criminal Justice Reform,0.2857,0.2598,0.2857,0.2857,2,5,5,188
annotator_1,Hybrid Soft Boost (CV),Environmental Justice,0.4,0.3606,0.4545,0.3571,5,6,9,180
annotator_1,Hybrid Soft Boost (CV),Economic Equity/Wealth Gap,0.4396,0.2747,0.4545,0.4255,20,24,27,129
annotator_3,Keyword Pipeline,Policing/Public Safety,0.186,0.1049,0.1333,0.3077,4,26,9,161
annotator_3,Keyword Pipeline,Voter Suppression,0.0952,0.0714,0.0556,0.3333,1,17,2,180
annotator_3,Keyword Pipeline,Book Bans/Anti-DEI,0.0,-0.0338,0.0,0.0,0,18,4,178
annotator_3,Keyword Pipeline,Housing/Displacement,0.2609,0.218,0.2143,0.3333,3,11,6,180
annotator_3,Keyword Pipeline,Maternal Health,0.3077,0.288,0.2222,0.5,2,7,2,189
annotator_3,Keyword Pipeline,Redlining/Fair Housing,0.0,0.0,0.0,0.0,0,0,0,200
annotator_3,Keyword Pipeline,Anti-Black Surveillance,0.0,0.0,0.0,0.0,0,2,0,198
annotator_3,Keyword Pipeline,Reparations,0.0,0.0,0.0,0.0,0,1,0,199
annotator_3,Keyword Pipeline,School Funding,0.1818,0.1636,0.125,0.3333,1,7,2,190
annotator_3,Keyword Pipeline,Criminal Justice Reform,0.0,-0.0274,0.0,0.0,0,4,8,188
annotator_3,Keyword Pipeline,Environmental Justice,0.1333,0.0997,0.125,0.1429,1,7,6,186
annotator_3,Keyword Pipeline,Economic Equity/Wealth Gap,0.2128,0.1169,0.2941,0.1667,5,12,25,158
annotator_3,Semantic Tagger,Policing/Public Safety,0.5,0.4582,0.4211,0.6154,8,11,5,176
annotator_3,Semantic Tagger,Voter Suppression,0.3636,0.3494,0.25,0.6667,2,6,1,191
annotator_3,Semantic Tagger,Book Bans/Anti-DEI,0.32,0.2964,0.1905,1.0,4,17,0,179
annotator_3,Semantic Tagger,Housing/Displacement,0.5263,0.5028,0.5,0.5556,5,5,4,186
annotator_3,Semantic Tagger,Maternal Health,0.2667,0.2403,0.1538,1.0,4,22,0,174
annotator_3,Semantic Tagger,Redlining/Fair Housing,0.0,0.0,0.0,0.0,0,15,0,185
annotator_3,Semantic Tagger,Anti-Black Surveillance,0.0,0.0,0.0,0.0,0,49,0,151
annotator_3,Semantic Tagger,Reparations,0.0,0.0,0.0,0.0,0,5,0,195
annotator_3,Semantic Tagger,School Funding,0.0645,0.0385,0.0357,0.3333,1,27,2,170
annotator_3,Semantic Tagger,Criminal Justice Reform,0.5333,0.5152,0.5714,0.5,4,3,4,189
annotator_3,Semantic Tagger,Environmental Justice,0.1714,0.1223,0.1071,0.4286,3,25,4,168
annotator_3,Semantic Tagger,Economic Equity/Wealth Gap,0.5517,0.4758,0.5714,0.5333,16,12,14,158
annotator_3,Hybrid OR (Union),Policing/Public Safety,0.3333,0.2577,0.2128,0.7692,10,37,3,150
annotator_3,Hybrid OR (Union),Voter Suppression,0.1481,0.1248,0.0833,0.6667,2,22,1,175
annotator_3,Hybrid OR (Union),Book Bans/Anti-DEI,0.1951,0.165,0.1081,1.0,4,33,0,163
annotator_3,Hybrid OR (Union),Housing/Displacement,0.4375,0.3986,0.3043,0.7778,7,16,2,175
annotator_3,Hybrid OR (Union),Maternal Health,0.2162,0.1872,0.1212,1.0,4,29,0,167
annotator_3,Hybrid OR (Union),Redlining/Fair Housing,0.0,0.0,0.0,0.0,0,15,0,185
annotator_3,Hybrid OR (Union),Anti-Black Surveillance,0.0,0.0,0.0,0.0,0,51,0,149
annotator_3,Hybrid OR (Union),Reparations,0.0,0.0,0.0,0.0,0,6,0,194
annotator_3,Hybrid OR (Union),School Funding,0.0556,0.0288,0.0303,0.3333,1,32,2,165
annotator_3,Hybrid OR (Union),Criminal Justice Reform,0.4211,0.3929,0.3636,0.5,4,7,4,185
annotator_3,Hybrid OR (Union),Environmental Justice,0.1429,0.0898,0.0857,0.4286,3,32,4,161
annotator_3,Hybrid OR (Union),Economic Equity/Wealth Gap,0.4857,0.3793,0.425,0.5667,17,23,13,147
annotator_3,Hybrid AND (Intersect),Policing/Public Safety,0.2667,0.2537,1.0,0.1538,2,0,11,187
annotator_3,Hybrid AND (Intersect),Voter Suppression,0.4,0.3927,0.5,0.3333,1,1,2,196
annotator_3,Hybrid AND (Intersect),Book Bans/Anti-DEI,0.0,-0.0135,0.0,0.0,0,2,4,194
annotator_3,Hybrid AND (Intersect),Housing/Displacement,0.2,0.1927,1.0,0.1111,1,0,8,191
annotator_3,Hybrid AND (Intersect),Maternal Health,0.6667,0.6622,1.0,0.5,2,0,2,196
annotator_3,Hybrid AND (Intersect),Redlining/Fair Housing,0.0,0.0,0.0,0.0,0,0,0,200
annotator_3,Hybrid AND (Intersect),Anti-Black Surveillance,0.0,0.0,0.0,0.0,0,0,0,200
annotator_3,Hybrid AND (Intersect),Reparations,0.0,0.0,0.0,0.0,0,0,0,200
annotator_3,Hybrid AND (Intersect),School Funding,0.3333,0.3232,0.3333,0.3333,1,2,2,195
annotator_3,Hybrid AND (Intersect),Criminal Justice Reform,0.0,0.0,0.0,0.0,0,0,8,192
annotator_3,Hybrid AND (Intersect),Environmental Justice,0.25,0.2434,1.0,0.1429,1,0,6,193
annotator_3,Hybrid AND (Intersect),Economic Equity/Wealth Gap,0.2286,0.194,0.8,0.1333,4,1,26,169
annotator_3,Hybrid Soft Boost,Policing/Public Safety,0.3492,0.2743,0.22,0.8462,11,39,2,148
annotator_3,Hybrid Soft Boost,Voter Suppression,0.1818,0.1601,0.1053,0.6667,2,17,1,180
annotator_3,Hybrid Soft Boost,Book Bans/Anti-DEI,0.2162,0.1872,0.1212,1.0,4,29,0,167
annotator_3,Hybrid Soft Boost,Housing/Displacement,0.4828,0.4485,0.35,0.7778,7,13,2,178
annotator_3,Hybrid Soft Boost,Maternal Health,0.4,0.3819,0.2727,0.75,3,8,1,188
annotator_3,Hybrid Soft Boost,Redlining/Fair Housing,0.0,0.0,0.0,0.0,0,114,0,86
annotator_3,Hybrid Soft Boost,Anti-Black Surveillance,0.0,0.0,0.0,0.0,0,158,0,42
annotator_3,Hybrid Soft Boost,Reparations,0.0,0.0,0.0,0.0,0,65,0,135
annotator_3,Hybrid Soft Boost,School Funding,0.1818,0.1636,0.125,0.3333,1,7,2,190
annotator_3,Hybrid Soft Boost,Criminal Justice Reform,0.4211,0.3929,0.3636,0.5,4,7,4,185
annotator_3,Hybrid Soft Boost,Environmental Justice,0.3333,0.3035,0.2727,0.4286,3,8,4,185
annotator_3,Hybrid Soft Boost,Economic Equity/Wealth Gap,0.5647,0.4599,0.4364,0.8,24,31,6,139
annotator_3,Hybrid Soft Boost (CV),Policing/Public Safety,0.3385,0.2617,0.2115,0.8462,11,41,2,146
annotator_3,Hybrid Soft Boost (CV),Voter Suppression,0.0952,0.0714,0.0556,0.3333,1,17,2,180
annotator_3,Hybrid Soft Boost (CV),Book Bans/Anti-DEI,0.1231,0.0889,0.0656,1.0,4,57,0,139
annotator_3,Hybrid Soft Boost (CV),Housing/Displacement,0.4828,0.4485,0.35,0.7778,7,13,2,178
annotator_3,Hybrid Soft Boost (CV),Maternal Health,0.4,0.3819,0.2727,0.75,3,8,1,188
annotator_3,Hybrid Soft Boost (CV),Redlining/Fair Housing,0.0,0.0,0.0,0.0,0,10,0,190
annotator_3,Hybrid Soft Boost (CV),Anti-Black Surveillance,0.0,0.0,0.0,0.0,0,7,0,193
annotator_3,Hybrid Soft Boost (CV),Reparations,0.0,0.0,0.0,0.0,0,65,0,135
annotator_3,Hybrid Soft Boost (CV),School Funding,0.1333,0.112,0.0833,0.3333,1,11,2,186
annotator_3,Hybrid Soft Boost (CV),Criminal Justice Reform,0.3333,0.2958,0.25,0.5,4,12,4,180
annotator_3,Hybrid Soft Boost (CV),Environmental Justice,0.25,0.2193,0.2222,0.2857,2,7,5,186
annotator_3,Hybrid Soft Boost (CV),Economic Equity/Wealth Gap,0.464,0.3057,0.3053,0.9667,29,66,1,104
