annotator,annotator_id,article_id,title,source,human_policing_public_safety,sem_score_policing_public_safety,semantic_policing_public_safety,human_voter_suppression,sem_score_voter_suppression,semantic_voter_suppression,human_book_bans_anti-dei,sem_score_book_bans_anti-dei,semantic_book_bans_anti-dei,human_housing_displacement,sem_score_housing_displacement,semantic_housing_displacement,human_maternal_health,sem_score_maternal_health,semantic_maternal_health,human_redlining_fair_housing,sem_score_redlining_fair_housing,semantic_redlining_fair_housing,human_anti-black_surveillance,sem_score_anti-black_surveillance,semantic_anti-black_surveillance,human_reparations,sem_score_reparations,semantic_reparations,human_school_funding,sem_score_school_funding,semantic_school_funding,human_criminal_justice_reform,sem_score_criminal_justice_reform,semantic_criminal_justice_reform,human_environmental_justice,sem_score_environmental_justice,semantic_environmental_justice,human_economic_equity_wealth_gap,sem_score_economic_equity_wealth_gap,semantic_economic_equity_wealth_gap
annotator_1,47,,Red Carpet Looks At The 2025 BET,theroot.com,0,0.0424,0,0,0.0041,0,0,-0.0493,0,0,-0.0359,0,0,0.0457,0,0,0.0646,0,0,0.0596,0,0,0.0081,0,0,0.0117,0,0,0.001,0,0,0.0011,0,0,-0.0098,0
annotator_1,48,,Kash Patel Files $250M Defamation Suit Against The Atlantic,newsone.com,0,0.1104,0,0,0.0052,0,0,0.0818,0,0,0.0022,0,0,0.0379,0,0,0.0067,0,0,0.1379,0,0,-0.077,0,0,-0.0186,0,0,0.0072,0,0,0.1553,1,0,0.0069,0
annotator_1,49,,The Best Beauty and Fashion Trends of 2025,ebony.com,0,0.1129,0,0,0.0384,0,0,0.0428,0,0,0.0861,0,0,0.047,0,0,0.0043,0,0,0.0542,0,0,-0.001,0,0,0.0678,0,0,0.0607,0,0,0.0376,0,0,0.0299,0
annotator_1,50,,"Tyler Perry interrupts ‘Finding Joy’ screening to sound alarm on SNAP benefit cuts: ‘I’m very, very concerned’",thegrio.com,0,0.0618,0,0,-0.0445,0,0,-0.0672,0,0,0.0441,0,0,0.0667,0,0,-0.002,0,0,0.078,0,0,0.0092,0,0,-0.0048,0,0,0.0052,0,0,-0.0649,0,1,0.1094,0
annotator_1,51,,Here’s What’s At Play In The Illinois Primary Election,newsone.com,0,0.2024,1,1,0.1972,1,0,0.0282,0,0,0.0564,0,0,0.0159,0,0,0.066,0,0,0.1638,1,0,-0.0119,0,0,0.1003,0,0,0.1288,0,0,0.0916,0,0,0.0051,0
annotator_1,52,,"White Celebs Discovering They’re Black, Ciara’s Famous Cousin, and Other Shocking ‘ Finding Your Roots’ Episodes",theroot.com,0,0.0448,0,0,-0.0197,0,0,0.1063,0,1,0.014,0,0,0.1707,1,0,0.1094,0,0,0.2539,1,0,0.0664,0,0,0.0149,0,0,0.0501,0,0,0.0788,0,0,0.1326,0
annotator_1,53,,IRS Pandemic Refunds: Find Out If You Qualify For One,blavity.com,0,0.0489,0,0,0.0777,0,0,0.0313,0,0,-0.0049,0,0,0.0407,0,0,0.0608,0,0,-0.0424,0,0,0.0475,0,0,0.1117,0,0,0.0914,0,0,0.02,0,0,-0.0416,0
annotator_1,54,,Heat Wave Brings Record High Temperatures In Western States,newsone.com,0,0.0029,0,0,0.0488,0,0,-0.0213,0,0,-0.011,0,0,0.0041,0,0,-0.01,0,0,0.003,0,0,-0.0584,0,0,-0.0502,0,0,-0.0029,0,1,-0.0106,0,0,-0.0766,0
annotator_1,55,,Tevon Blair Archives | Essence,essence.com,0,-0.0095,0,1,-0.0865,0,0,0.1405,0,0,0.0856,0,0,0.0175,0,0,0.0442,0,0,0.0688,0,0,0.1038,0,0,-0.0383,0,0,0.0342,0,0,0.0814,0,0,0.0589,0
annotator_1,56,,"Javian Baker, Ph.D. Archives | Essence",essence.com,0,-0.1069,0,0,-0.0849,0,0,0.133,0,0,-0.0318,0,0,-0.0465,0,0,-0.005,0,0,-0.0104,0,0,0.0141,0,0,-0.0592,0,0,-0.0306,0,0,0.0137,0,1,0.0045,0
annotator_1,57,,Trump Administration Banned From Denying Minors Gender-Related Care,newsone.com,0,0.1207,0,0,0.1366,0,0,0.1688,1,0,0.0143,0,0,0.1603,1,0,0.1321,0,0,0.1912,1,0,-0.0464,0,0,0.1252,0,0,0.1499,0,0,0.0647,0,0,0.0364,0
annotator_1,58,,This Wellness Retreat With Jhené Aiko Helped Me With Burnout | Essence,essence.com,0,-0.0886,0,0,-0.0903,0,0,-0.0213,0,0,-0.0005,0,0,0.0022,0,0,-0.0117,0,0,-0.0633,0,0,-0.0099,0,0,-0.0565,0,0,-0.0223,0,0,0.0183,0,0,0.0017,0
annotator_1,59,,"Trump Sued For Racial Discrimination, Accused Of Firing 75% of Black Officials At Independent Federal Agencies",blavity.com,0,0.2251,1,0,0.2313,1,1,0.2113,1,0,0.1427,0,0,0.2469,1,0,0.2595,1,0,0.2792,1,0,0.1367,0,0,0.1915,1,0,0.1833,1,0,0.3281,1,1,0.2075,1
annotator_1,60,,DMX to be posthumously ordained as a minister at site of historic church once used for Underground Railroad,thegrio.com,0,-0.0036,0,0,-0.0673,0,0,0.0652,0,0,-0.0366,0,0,-0.0053,0,0,0.0731,0,0,0.0508,0,0,-0.0061,0,0,0.0756,0,0,0.0511,0,0,0.0525,0,0,0.0251,0
annotator_1,61,,"Who Is Tommie Lee, What’s Her Net Worth And What Is She Known For?",blavity.com,0,0.0018,0,0,-0.0755,0,0,0.0038,0,0,-0.0725,0,0,0.0253,0,0,-0.0769,0,0,0.0652,0,0,-0.0162,0,0,-0.0566,0,0,-0.033,0,0,0.0018,0,1,-0.0172,0
annotator_1,62,,Cybersecurity And Risk Management Leader Angel Mosley Launches AI-Powered Simulation Platform To Train Leaders On How To Respond To Cyber Business Crisis,afrotech.com,0,0.0935,0,0,-0.1084,0,0,0.0259,0,0,-0.0585,0,0,0.0149,0,0,-0.0713,0,0,0.1975,1,0,-0.0644,0,0,0.019,0,0,0.0152,0,0,0.0168,0,0,0.1258,0
annotator_1,63,,Transforming Beauty: How Black Women Owned and Founded Brands Redefined Inclusivity in Makeup Industry,ebony.com,0,0.1335,0,0,0.0042,0,0,0.1861,1,0,0.1077,0,0,0.2086,1,0,0.2228,1,0,0.2021,1,0,0.0402,0,0,0.1322,0,0,0.1424,0,0,0.2464,1,1,0.194,1
annotator_1,64,,Bachelor Nation’s Justin Glaze Would Love To Do ‘The Traitors’ Next Amid Nailing Irish Dance For New Partnership,blavity.com,0,-0.0618,0,0,-0.0768,0,0,0.0286,0,0,-0.0658,0,0,-0.0153,0,0,-0.0249,0,0,0.0199,0,0,-0.0058,0,0,-0.0691,0,0,0.0065,0,0,-0.0589,0,0,0.0862,0
annotator_1,65,,Will Federal Agents Be Deployed To Polling Stations? DNC Lawsuit Seeks Answers,newsone.com,0,0.1737,1,1,0.2417,1,0,-0.0413,0,0,0.0259,0,0,0.0209,0,0,0.095,0,0,0.1998,1,0,-0.0729,0,0,0.0316,0,0,0.0468,0,0,0.0173,0,0,-0.1399,0
annotator_1,66,,Mother Demands Justice After Indianapolis Cop Threatens To 'Kill' Black Teen During Traffic Stop,newsone.com,1,0.2996,1,0,0.0855,0,0,0.1979,1,0,0.0613,0,0,0.1356,0,0,0.0932,0,0,0.2509,1,0,-0.0239,0,0,0.1818,1,0,0.0637,0,0,0.1373,0,0,0.0242,0
annotator_1,67,,Rescue Teams Struggle To Respond To Deadly Tornadoes Because Of Trump's DHS,newsone.com,0,0.1551,1,0,0.1413,0,0,-0.0243,0,1,0.1448,0,0,0.0518,0,0,0.0758,0,0,0.1855,1,0,0.0216,0,0,0.1422,0,0,0.0619,0,1,0.0206,0,0,-0.0324,0
annotator_1,68,,"Have You Seen Tyrese Gibson’s Huge, Swanky Atlanta Mansion?",theroot.com,0,-0.0507,0,0,0.0221,0,0,-0.0369,0,0,0.0866,0,0,-0.0841,0,0,0.0459,0,0,0.065,0,0,0.0287,0,0,-0.0162,0,0,-0.023,0,0,0.0185,0,1,0.0948,0
annotator_1,69,,Trevor Noah’s Net Worth Has Him Laughing All The Way To The Bank,afrotech.com,0,-0.0605,0,0,-0.0124,0,0,0.0096,0,0,0.1538,1,0,0.0954,0,0,0.022,0,0,0.0417,0,0,0.1064,0,0,0.1109,0,0,-0.0571,0,0,0.0982,0,1,0.1974,1
annotator_1,70,,Seeing Another Side of New Orleans,ebony.com,0,0.0354,0,0,0.0392,0,0,0.0636,0,1,0.1291,0,0,0.0905,0,0,0.0904,0,0,0.1361,0,0,0.0704,0,0,0.1137,0,0,0.018,0,1,0.1673,1,0,0.095,0
annotator_1,71,,"Exclusive: Bootup Studios Launches At Morehouse College, Providing Students A Chance To Power Their Business With An AI-Powered Chief Of Staff",afrotech.com,0,-0.0503,0,0,-0.0895,0,0,0.0027,0,0,-0.0215,0,0,-0.0684,0,0,-0.0011,0,0,0.0068,0,0,0.0188,0,0,0.1413,0,0,-0.0417,0,0,-0.0393,0,1,0.2004,1
annotator_1,72,,Inside The AAFCA Special Achievement Awards Luncheon Where Black Excellence Took Center Stage,ebony.com,0,0.1327,0,0,-0.0107,0,0,0.1486,0,0,0.0713,0,0,0.1197,0,0,0.1248,0,0,0.1369,0,0,0.1253,0,0,0.1757,1,0,0.0432,0,0,0.1606,1,1,0.1989,1
annotator_1,73,,Clarence Thomas Thinks Progressives Are Destroying America...While Conservatives Destroy America,newsone.com,0,0.0891,0,0,0.13,0,0,0.13,0,0,0.0475,0,0,0.0702,0,0,0.1741,1,0,0.1575,1,0,0.0628,0,0,0.1131,0,0,0.1065,0,0,0.1204,0,0,0.0972,0
annotator_1,74,,Jasmine Crockett tearfully condemns Republicans after ICE shooting: ‘I remember when Charlie Kirk got killed’,thegrio.com,1,0.0619,0,0,0.0996,0,0,0.0421,0,0,-0.0433,0,0,0.0073,0,0,0.0833,0,0,0.0536,0,0,0.0746,0,0,0.0198,0,1,0.0441,0,0,0.0719,0,0,-0.0176,0
annotator_1,75,,"Primaries In Texas And NC Boost Senate Swing Hopes, Leave Republicans Fighting for Seats And Pit Some Dems Against Each Other",blavity.com,0,0.0146,0,1,0.1648,1,0,-0.0685,0,0,0.0015,0,0,-0.0178,0,0,0.0193,0,0,0.0129,0,0,-0.0275,0,0,-0.0055,0,0,0.0835,0,0,-0.0203,0,0,-0.0841,0
annotator_1,76,,Discover Your Inner Dance Through Karisma Dance Fitness,blavity.com,0,0.0612,0,0,0.0273,0,0,0.0008,0,0,0.0076,0,0,0.0524,0,0,-0.0349,0,0,0.0144,0,0,0.0219,0,0,-0.021,0,0,0.0557,0,0,-0.0443,0,1,0.009,0
annotator_1,77,,TPUSA FIU Chapter President Steps Down Amid Racist Group Chat Scandal,newsone.com,0,0.1275,0,0,0.1017,0,0,0.2826,1,0,0.0737,0,0,0.0506,0,0,0.1156,0,0,0.1901,1,0,-0.0026,0,0,0.1298,0,0,0.0403,0,0,0.14,0,0,0.0378,0
annotator_1,78,,Progressive’s Open the House Initiative Helps More Achieve the Dream of Homeownership | Essence,essence.com,0,0.0305,0,0,0.0261,0,0,0.0057,0,1,0.2816,1,0,0.0866,0,0,0.2598,1,0,0.0248,0,0,0.1468,0,0,0.1419,0,0,0.0487,0,0,0.0185,0,1,0.2172,1
annotator_1,79,,8 US Travel Destinations That Showcase Black History For Families,newsone.com,0,-0.0052,0,0,0.1061,0,0,0.2999,1,1,0.2356,1,0,0.2447,1,0,0.2375,1,0,0.2432,1,0,0.2176,1,0,0.2265,1,0,0.0633,0,0,0.2309,1,0,0.1508,1
annotator_1,80,,Why Is TSA Not Getting Paid Right Now But ICE Is?,blavity.com,1,0.1652,1,0,0.078,0,0,-0.0133,0,0,0.0611,0,0,0.0877,0,0,0.0321,0,0,0.137,0,0,0.1217,0,0,0.1304,0,0,0.0806,0,0,0.0439,0,1,0.0519,0
annotator_1,81,,House Democrats Push Bill To Assess Invoking 25th Amendment Against Trump,newsone.com,0,0.0318,0,0,0.0928,0,0,-0.0156,0,0,-0.0633,0,0,-0.0079,0,0,0.0041,0,0,0.1018,0,0,-0.0415,0,0,-0.0365,0,0,0.0566,0,0,-0.0606,0,0,-0.0256,0
