annotator,annotator_id,article_id,title,source,pipeline_topics,pipeline_phrases,human_policing_public_safety,pipeline_policing_public_safety,human_voter_suppression,pipeline_voter_suppression,human_book_bans_anti-dei,pipeline_book_bans_anti-dei,human_housing_displacement,pipeline_housing_displacement,human_maternal_health,pipeline_maternal_health,human_redlining_fair_housing,pipeline_redlining_fair_housing,human_anti-black_surveillance,pipeline_anti-black_surveillance,human_reparations,pipeline_reparations,human_school_funding,pipeline_school_funding,human_criminal_justice_reform,pipeline_criminal_justice_reform,human_environmental_justice,pipeline_environmental_justice,human_economic_equity_wealth_gap,pipeline_economic_equity_wealth_gap
annotator_1,16,16,Everything We Need to See in a ‘Michael’ Movie Sequel,theroot.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,17,17,"‘Hunger Games: Sunrise On The Reaping’ Trailer Drops With Joseph Zada, Whitney Peak, Kelvin Harrison Jr. And More",blavity.com,,{},0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,18,18,These Leaders Are Calling For Americans to Rebel Against Trump Administration,theroot.com,,{},0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,19,19,"Robert Prevost, first American pope in history of the Catholic Church, will take the name Leo XIV",thegrio.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,20,20,"For Rural Black Communities, Winter Storm Fern Hits Where Recovery Never Finished",capitalbnews.org,Policing & Public Safety; Housing & Displacement; Environmental Justice,"{""Policing & Public Safety"": [""homeland security""], ""Housing & Displacement"": [""shelter""], ""Environmental Justice"": [""clean water""]}",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
annotator_1,21,21,‘Summer House’ Star Ciara Miller and the Cost of Being the Only Black Woman in the Room,ebony.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,22,22,Paris Jackson Received $65M From Michael Jackson’s Estate Amid Legal Dispute Over Executor Payments,afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,23,23,"After LA Fires, Black Altadena Faces Foreclosure and Displacement",capitalbnews.org,Housing & Displacement; Economic Equity & Wealth Gap,"{""Housing & Displacement"": [""displacement"", ""housing crisis"", ""homelessness"", ""housing instability"", ""foreclosure"", ""black homeownership""], ""Economic Equity & Wealth Gap"": [""racial wealth gap"", ""black middle class"", ""generational wealth"", ""wealth gap""]}",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
annotator_1,24,24,"The Wrap-Up: Usher, Bluey Robinson, Keith Lee and More",ebony.com,Economic Equity & Wealth Gap,"{""Economic Equity & Wealth Gap"": [""black-owned""]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
annotator_1,25,25,Trump’s Rash: What’s Going On Around His Neck And What Did The White House Say?,blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,26,26,"‘Yellowstone’s Beth And Rip Spinoff ‘Dutton Ranch’ Reveals, Trailer, Premiere Date And Iamges",blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,27,27,Mark Zuckerberg Bets Big On The Future Of AI With Meta ‘Superintelligence’ AI Team Taking The Stage,afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,28,28,The Wild Story of How Kim Kardashian Said Wesley Snipes Saved Her Life—And What Happened After,theroot.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,29,29,"KWN, ‘The Female Version of Chris Brown’ Got Black Men Worried And For Good Reason",theroot.com,Policing & Public Safety,"{""Policing & Public Safety"": [""chokehold""]}",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,30,30,Jay-Z Speaks On The Sexual Assault Lawsuit and How Blue Ivy Showed Support,theroot.com,,{},1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,31,31,West African Woman Attempts Suicide After U.S. Deportation to Non-Native Country,capitalbnews.org,Policing & Public Safety; Criminal Justice Reform,"{""Policing & Public Safety"": [""racial profiling"", ""immigration enforcement""], ""Criminal Justice Reform"": [""solitary confinement""]}",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
annotator_1,32,32,Ghana Attracts $1 Billion UAE Investment To Launch AI Innovation Hub By 2027,afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,33,33,‘God Squad’ Removes Endangered Species Protections In Gulf Of Mexico,newsone.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
annotator_1,34,34,Misty Copeland Opens New Doors as She Preps for Retirement from the American Ballet Theater,ebony.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,35,35,Largest ICE Facility Planned at Georgia Private Prison With Deadly Record,capitalbnews.org,,{},1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,36,36,The ‘RHOA’ Season 17 Premiere Proves Its In Its Resurrection Era: The Best Since Season 6?,blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,37,37,"Trump, Mike Johnson Reveal GOP Rep's 'Terminal Diagnosis' On Camera",newsone.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,38,38,New Movement For Black Lives Project Aims To Build Governing Power,newsone.com,Housing & Displacement,"{""Housing & Displacement"": [""affordable housing""]}",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,39,39,Nia Long’s Brutally Honest Take on Dating After Divorce Has Fans Loving Her Even More,theroot.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,40,40,Uncle Nearest CEO Fawn Weaver Affirms Her ‘Team Remains Unshaken And Unmoved’ After Judge Orders Receivership For Distillery,afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
annotator_1,41,41,Fani Willis Responds to Being Removed From Trump RICO Case,capitalbnews.org,Voter Suppression; Criminal Justice Reform,"{""Voter Suppression"": [""election interference""], ""Criminal Justice Reform"": [""prosecutorial misconduct""]}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
annotator_1,42,42,Who Is The Richest Black Man In The World? A Look At Aliko Dangote’s Wealth,afrotech.com,Environmental Justice; Economic Equity & Wealth Gap,"{""Environmental Justice"": [""refinery""], ""Economic Equity & Wealth Gap"": [""black wealth""]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
annotator_1,43,43,This Texas County Is the Deadliest Place in the U.S. for Black Mothers to Give Birth,capitalbnews.org,Maternal Health,"{""Maternal Health"": [""maternal mortality"", ""maternal health"", ""black maternal"", ""postpartum"", ""infant mortality"", ""cesarean"", ""c-section"", ""maternal morbidity"", ""postpartum depression""]}",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,44,44,Kim Kardashian’s Sons Steal the Show at Her Law School Graduation Party,theroot.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,45,45,Should The Atlanta Hawks Be Able To Have Their Magic City Night?,blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,46,46,Why Yung Miami’s Growing Net Worth Is A Win For Black Women In Media,blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,47,47,Red Carpet Looks At The 2025 BET,theroot.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,48,48,Kash Patel Files $250M Defamation Suit Against The Atlantic,newsone.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,49,49,The Best Beauty and Fashion Trends of 2025,ebony.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,50,50,"Tyler Perry interrupts ‘Finding Joy’ screening to sound alarm on SNAP benefit cuts: ‘I’m very, very concerned’",thegrio.com,Economic Equity & Wealth Gap,"{""Economic Equity & Wealth Gap"": [""snap benefit""]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
annotator_1,51,51,Here’s What’s At Play In The Illinois Primary Election,newsone.com,Voter Suppression,"{""Voter Suppression"": [""voter registration""]}",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,52,52,"White Celebs Discovering They’re Black, Ciara’s Famous Cousin, and Other Shocking ‘ Finding Your Roots’ Episodes",theroot.com,,{},0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,53,53,IRS Pandemic Refunds: Find Out If You Qualify For One,blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,54,54,Heat Wave Brings Record High Temperatures In Western States,newsone.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
annotator_1,55,55,Tevon Blair Archives | Essence,essence.com,,{},0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,56,56,"Javian Baker, Ph.D. Archives | Essence",essence.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,57,57,Trump Administration Banned From Denying Minors Gender-Related Care,newsone.com,Book Bans & Anti-DEI; Maternal Health,"{""Book Bans & Anti-DEI"": [""diversity equity inclusion"", ""dei""], ""Maternal Health"": [""infant mortality""]}",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,58,58,This Wellness Retreat With Jhené Aiko Helped Me With Burnout | Essence,essence.com,Book Bans & Anti-DEI,"{""Book Bans & Anti-DEI"": [""black history month""]}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,59,59,"Trump Sued For Racial Discrimination, Accused Of Firing 75% of Black Officials At Independent Federal Agencies",blavity.com,Book Bans & Anti-DEI,"{""Book Bans & Anti-DEI"": [""diversity equity inclusion"", ""dei"", ""anti-dei""]}",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,60,60,DMX to be posthumously ordained as a minister at site of historic church once used for Underground Railroad,thegrio.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,61,61,"Who Is Tommie Lee, What’s Her Net Worth And What Is She Known For?",blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,62,62,Cybersecurity And Risk Management Leader Angel Mosley Launches AI-Powered Simulation Platform To Train Leaders On How To Respond To Cyber Business Crisis,afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,63,63,Transforming Beauty: How Black Women Owned and Founded Brands Redefined Inclusivity in Makeup Industry,ebony.com,Economic Equity & Wealth Gap,"{""Economic Equity & Wealth Gap"": [""black-owned""]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
annotator_1,64,64,Bachelor Nation’s Justin Glaze Would Love To Do ‘The Traitors’ Next Amid Nailing Irish Dance For New Partnership,blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,65,65,Will Federal Agents Be Deployed To Polling Stations? DNC Lawsuit Seeks Answers,newsone.com,Policing & Public Safety; Voter Suppression,"{""Policing & Public Safety"": [""ice agent"", ""homeland security""], ""Voter Suppression"": [""voting rights"", ""redistricting"", ""save america act"", ""save act""]}",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,66,66,Mother Demands Justice After Indianapolis Cop Threatens To 'Kill' Black Teen During Traffic Stop,newsone.com,Policing & Public Safety,"{""Policing & Public Safety"": [""use of force"", ""body camera"", ""police department"", ""police officer""]}",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,67,67,Rescue Teams Struggle To Respond To Deadly Tornadoes Because Of Trump's DHS,newsone.com,Policing & Public Safety; Book Bans & Anti-DEI,"{""Policing & Public Safety"": [""homeland security""], ""Book Bans & Anti-DEI"": [""dei"", ""anti-dei""]}",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
annotator_1,68,68,"Have You Seen Tyrese Gibson’s Huge, Swanky Atlanta Mansion?",theroot.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,69,69,Trevor Noah’s Net Worth Has Him Laughing All The Way To The Bank,afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,70,70,Seeing Another Side of New Orleans,ebony.com,Environmental Justice,"{""Environmental Justice"": [""green space""]}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
annotator_1,71,71,"Exclusive: Bootup Studios Launches At Morehouse College, Providing Students A Chance To Power Their Business With An AI-Powered Chief Of Staff",afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,72,72,Inside The AAFCA Special Achievement Awards Luncheon Where Black Excellence Took Center Stage,ebony.com,Book Bans & Anti-DEI,"{""Book Bans & Anti-DEI"": [""dei""]}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,73,73,Clarence Thomas Thinks Progressives Are Destroying America...While Conservatives Destroy America,newsone.com,Voter Suppression,"{""Voter Suppression"": [""jim crow""]}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,74,74,Jasmine Crockett tearfully condemns Republicans after ICE shooting: ‘I remember when Charlie Kirk got killed’,thegrio.com,,{},1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
annotator_1,75,75,"Primaries In Texas And NC Boost Senate Swing Hopes, Leave Republicans Fighting for Seats And Pit Some Dems Against Each Other",blavity.com,Voter Suppression,"{""Voter Suppression"": [""gerrymandering"", ""voters turned away""]}",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,76,76,Discover Your Inner Dance Through Karisma Dance Fitness,blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,77,77,TPUSA FIU Chapter President Steps Down Amid Racist Group Chat Scandal,newsone.com,Book Bans & Anti-DEI,"{""Book Bans & Anti-DEI"": [""dei"", ""anti-dei""]}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,78,78,Progressive’s Open the House Initiative Helps More Achieve the Dream of Homeownership | Essence,essence.com,,{},0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,79,79,8 US Travel Destinations That Showcase Black History For Families,newsone.com,Book Bans & Anti-DEI,"{""Book Bans & Anti-DEI"": [""black history month""]}",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,80,80,Why Is TSA Not Getting Paid Right Now But ICE Is?,blavity.com,Voter Suppression,"{""Voter Suppression"": [""voter registration"", ""save america act"", ""save act""]}",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,81,81,House Democrats Push Bill To Assess Invoking 25th Amendment Against Trump,newsone.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,82,82,Instagram Is Giving Users More Control Over Their Reels Algorithm Thanks To Its Latest Feature Powered By AI,afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,83,83,‘Stop! That! Train!’ Trailer: RuPaul’s President Gagwell And ‘Drag Race’ Icons Camp It Up In Action-Comedy,blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,84,84,Uber Launches Pilot Program Where Drivers Can Earn Extra Money By Training AI Models,afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,85,85,Calls for ‘New Blood’ Grow at Congressional Black Caucus Gathering,capitalbnews.org,School Funding,"{""School Funding"": [""education access""]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
annotator_1,86,86,5 Facts About André Leon Talley You Probably Didn’t Know,ebony.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,87,87,Expert Tips to Help Black Families Navigate Dementia Care,theroot.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,88,88,First domino in national redistricting fight likely to fall with Texas GOP poised for vote on maps,thegrio.com,Voter Suppression,"{""Voter Suppression"": [""redistricting""]}",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,89,89,"‘We own it’: Community-owned grocery store opens in Flint, Mich., marking the end of a longtime food desert",thegrio.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
annotator_1,90,90,What Recent Killings of Black Women Reveal About a Growing Crisis,capitalbnews.org,Voter Suppression; Maternal Health,"{""Voter Suppression"": [""disenfranchised""], ""Maternal Health"": [""maternal mortality""]}",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
annotator_1,91,91,‘Digital Resistance’: Black Coders Battle Biased AI Systems,capitalbnews.org,Policing & Public Safety; Anti-Black Surveillance; Reparations; Economic Equity & Wealth Gap,"{""Policing & Public Safety"": [""law enforcement"", ""police department"", ""immigration enforcement""], ""Anti-Black Surveillance"": [""facial recognition"", ""predictive policing""], ""Reparations"": [""restorative justice""], ""Economic Equity & Wealth Gap"": [""black-owned""]}",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
annotator_1,92,92,TSA Announces Elimination of the Shoe Removal Policy for Passengers,ebony.com,,{},1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,93,93,Destiny’s Child Reunion at ‘Cowboy Carter’ Is Our Much-Needed Call for the Return of the Girl Group,ebony.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,94,94,"Chase Infiniti’s Oscars Braids Referred To As ‘Undone’ By E! Commentator, Draws Backlash",blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,95,95,Trump claimed Walmart Thanksgiving meals are cheaper this year under him. The facts say otherwise,thegrio.com,Housing & Displacement,"{""Housing & Displacement"": [""shelter""]}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,96,96,Our Must-See Films for Tribeca Film Festival 2025,ebony.com,Voter Suppression,"{""Voter Suppression"": [""jim crow""]}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,97,97,Former MSNBC president Rashida Jones is back in the boardroom to lead Piers Morgan’s new media company,thegrio.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,98,98,"Dawn Moore Discusses Gov. Wes Moore’s Focus On ‘Pathways To Work, Wages, And Wealth’ And Investments In Technology Businesses",afrotech.com,Economic Equity & Wealth Gap,"{""Economic Equity & Wealth Gap"": [""black-owned"", ""economic empowerment""]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
annotator_1,99,99,Alexia Grevious Henderson Has Been Promoted To President Of Magic Johnson Enterprises,afrotech.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,100,100,‘Women are God’s greatest creation’: Mario overjoyed as he welcomes his first child with girlfriend Esmeralda Rios,thegrio.com,,{},0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,101,101,Number of Black Republicans in Congress continues to shrink after March primaries,thegrio.com,Voter Suppression,"{""Voter Suppression"": [""early voting""]}",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,102,102,"Now That REAL ID Is Required, Black Travelers May Face New Travel Hurdles",capitalbnews.org,Policing & Public Safety,"{""Policing & Public Safety"": [""homeland security""]}",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,103,103,N.Y. Man Stabbed to Death on Christmas While Covering a CVS Shift He Was Never Scheduled to Work,theroot.com,Policing & Public Safety,"{""Policing & Public Safety"": [""police department""]}",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,104,104,"Meta And YouTube Social Media Addiction Trial: Companies Found Negligent, Jury Rules In Favor Of 20-Year-Old Woman",blavity.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,105,105,Social Security Trust Estimated To Run Out Even Earlier Than Expected,newsone.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,106,106,An HBCU Student Goes To Class And Then The Gun Range: Here’s Why,newsone.com,Policing & Public Safety,"{""Policing & Public Safety"": [""law enforcement"", ""racial profiling""]}",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
annotator_1,107,107,The Broadus Collection Helps Those Battling Lupus Feel Their Best,ebony.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annotator_1,108,108,Jhene Aiko Provides Photos Of Her Home After It Burned Down in LA Wildfires,theroot.com,,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
